id,diaSemana,arribo,inicioAtencionCaja,finPedido,finPago,metodoPago,observacion
gN2fvnOEtu7K7Veorqg8,sábado,"14:18:05,266","14:19:03,147","14:19:22,226","14:19:37,137",Tarjeta,
d4fnRd2HTsWhN3ExFlta,sábado,"13:19:51,785","13:19:52,038","13:20:39,271","13:20:54,602",efectivo,
d2rRnBCDeFpZPMjJQLmE,sábado,"14:48:01,858","14:49:45,619","14:49:55,810","14:50:07,041",efectivo,
d22pEbYKJycZzug2W4oY,sábado,"14:59:45,334","15:05:30,551","15:05:41,575","15:05:48,286",Tarjeta,
g8GrmkejhVDkfW5xO3Lh,sábado,"13:33:45,732","13:37:36,025","13:38:08,078","13:38:21,957",Tarjeta,
gC2TBzIb7qSxpY3wjsTm,sábado,"12:01:08,102","12:03:10,524","12:03:22,055","12:03:27,545",Tarjeta,
gHFECzFkO1U02J9kNnzs,sábado,"13:42:18,475","13:43:22,302","13:43:33,176","13:43:45,386",efectivo,
Zi5foABKVOcmtLN4tWNH,sábado,"14:14:25,637","14:14:58,128","14:15:09,869","14:16:16,708",Tarjeta,Datáfono se dañó
Zfiv6Txe9c2SjG06SwsX,sábado,"12:12:34,945","12:13:05,508","12:13:17,767","12:13:23,837",efectivo,
ZGVeiNm6y0nK8OiZDCQr,sábado,"13:35:16,922","13:35:19,053","13:35:33,865","13:35:37,823",efectivo,
kfi0OL7UsQooSV6gHZkM,sábado,"11:38:53,556","11:39:34,823","11:39:42,418","11:40:03,685",Tarjeta,
jFCeIG4JuBugASdhGMCI,sábado,"13:30:05,014","13:30:16,676","13:30:27,431","13:30:59,626",Tarjeta,
jXozFNdWnKR2qS0wCRxr,sábado,"14:42:47,561","14:43:15,303","14:43:25,838","14:43:34,707",Tarjeta,
TYG9sIAfLzCfRWhGCI6I,sábado,"13:27:50,417","13:29:39,058","13:29:47,269","13:29:49,117",Tarjeta,
k5hxF9ugue43wkAiSMZx,sábado,"13:47:14,195","13:53:57,226","13:54:10,221","13:54:23,077",efectivo,
kYHwksMXe0TqwWJmaGbf,sábado,"12:55:18,445","12:55:21,246","12:55:56,857","12:56:30,218",bono,
kdSo6ZhvjzWRL0GfghgG,sábado,"13:35:23,176","13:35:44,995","13:36:48,623","13:36:58,432",efectivo,Le cajera explicó toda la carta
T5PBOAmEd1pAye9bWoJT,sábado,"13:24:40,045","13:24:44,848","13:24:55,260","13:25:04,948",Tarjeta,
hWcUr9rDRzLWm6IfTxpg,sábado,"12:58:51,594","13:00:21,780","13:01:04,057","13:02:56,523",efectivo,La cajera se demoró porque estaba apoyando en cocina
kiM9k4WK4UYWqht7yTfZ,sábado,"12:27:17,693","12:28:47,763","12:29:26,936","12:31:00,601",Tarjeta,
SrL0ITHq98LzxDM7r9Kj,sábado,"13:16:12,597","13:16:46,036","13:17:36,221","13:17:41,042",efectivo,
ShOTr7gQHgHvWUJMarpG,sábado,"14:09:19,183","14:10:57,494","14:11:33,527","14:11:51,758",Tarjeta,
SenlQppFcHMmKXb3piOE,sábado,"12:03:04,360","12:04:02,753","12:04:16,912","12:04:49,798",Tarjeta,
SasjimhVmfcsKhuaOlj9,sábado,"14:46:39,198","14:48:56,790","14:49:07,092","14:49:34,187",Tarjeta,
SV0hKJV4QxOjUZGYgweC,sábado,"14:09:57,301","14:11:55,758","14:12:05,587","14:12:23,955",Tarjeta,
UQgaEiqbxRpYFAxlYV3Y,sábado,"13:38:23,137","13:38:37,815","13:38:46,498","13:38:52,576",efectivo,
j7Z3dCZhdxMXZf9NTC4j,sábado,"12:56:59,212","12:59:09,789","12:59:23,688","12:59:55,067",Tarjeta,
VOqAK7PvvT0EFfPD7jvy,sábado,"14:32:52,988","14:33:59,879","14:34:03,785","14:34:23,764",efectivo,
VTCmfwEUFVvmTtTPsyHD,sábado,"12:14:13,640","12:14:27,281","12:14:53,048","12:15:07,925",efectivo,
JFcWpwUI8nAnG77c9nVH,sábado,"14:32:46,400","14:33:11,308","14:33:27,207","14:33:44,171",efectivo,
VhfZS6zwSCVsINb419fJ,sábado,"12:22:05,793","12:22:15,509","12:22:25,736","12:22:46,381",efectivo,
j5yjN0HZQqzNhQ0kOMpL,sábado,"13:17:26,713","13:18:29,527","13:18:52,944","13:19:18,745",efectivo,
W8L0lvJk3Bi8wbNNnCMj,sábado,"14:07:33,572","14:08:45,062","14:09:04,832","14:09:31,058",Tarjeta,
WAPOCh4pBvVUgiYY4k1w,sábado,"14:39:26,631","14:39:34,282","14:40:12,251","14:40:35,975",efectivo,
isH6JhfpHLmI7VGA1rgz,sábado,"13:54:46,224","14:01:38,231","14:02:21,263","14:02:47,494",Tarjeta,
WcX1yyDIwAZSPSehXVjz,sábado,"14:05:45,095","14:05:46,327","14:05:49,810","14:06:02,021",efectivo,
XLrCXeOGohPZukRTWJ3M,sábado,"14:51:33,017","14:52:51,557","14:53:01,104","14:53:17,892",efectivo,
Xrshrviqm5iJGZdRLeL6,sábado,"14:07:40,484","14:09:00,463","14:09:05,642","14:09:12,132",efectivo,
YEXN1bZSbVQAnSQHZbva,sábado,"14:40:39,943","14:40:48,501","14:41:09,755","14:41:29,362",Tarjeta,
hxYES5nbd3vZSeYE6Urt,sábado,"14:42:24,391","14:42:30,528","14:42:38,574","14:42:50,364",Tarjeta,
YafMFiwCihdR5DGVrV3h,sábado,"14:24:48,671","14:24:50,624","14:24:52,503","14:25:03,307",efectivo,
heIrRnw2GJUs9WMdViz1,sábado,"14:09:15,713","14:10:17,091","14:10:36,889","14:10:52,556",efectivo,
JHOPB1LCLeRGIgqSf0W8,sábado,"12:35:43,673","12:35:44,978","12:36:06,541","12:36:46,617",Tarjeta,
JLFMcmtmldqLxiPNVo6R,sábado,"12:08:33,296","12:10:53,576","12:11:08,575","12:11:21,199",Tarjeta,
f2I6YnNZvdmRuFXkx7r6,sábado,"12:33:40,483","12:33:55,449","12:34:33,901","12:34:40,872",Tarjeta,
CfsS1nlvkC8LZofye93V,sábado,"12:41:49,141","12:43:15,801","12:44:08,724","12:44:12,263",Tarjeta,
