,id,diaSemana,arribo,inicioAtencionCaja,finPedido,finPago,metodoPago,observacion
507,nZfiJdZf8lMiYmpsQbOq,sábado,14:58:49.661000,"15:03:44,532","15:04:08,807","15:04:35,774",efectivo,"Nuevamente la cajera se fue, y llegaron como 5 a la vez, justo 1 minuto antes de las 3, dioooossssss, donde esta  la cajeraaaaaaa"
506,nYJzf3JWRGTPElKbNRGt,sábado,14:28:05.911000,"14:29:35,683","14:30:25,118","14:30:49,176",efectivo,
250,NYpNFs3PbLStKW8kSkjE,sábado,14:24:25.534000,"14:26:08,295","14:26:41,937","14:26:50,794",efectivo,
252,NkI5VzI54FrowxClp9Br,sábado,13:43:37.842000,"13:46:51,311","13:47:04,308","13:47:19,416",efectivo,Cajera en cocina 
254,NqYcN59NgPw1j1MYvKvw,sábado,11:59:04.190000,"11:59:05,817","11:59:13,597","11:59:32,180",Tarjeta,
255,O2iG5DTCvMmKizFrH0fB,sábado,12:49:52.620000,"12:54:06,798","12:54:35,887","12:55:43,145",efectivo,
256,OFdD9V4OcoadIhp1tWjW,sábado,14:28:02.744000,"14:28:36,821","14:28:44,445","14:29:06,394",efectivo,
288,S1Irs59Tglkyx3qrLQO0,sábado,12:48:17.389000,"12:48:20,658","12:48:26,027","12:48:53,597",efectivo,
323,VdXCNlYOZxFdxFuuieWG,sábado,12:39:20.299000,"12:40:23,079","12:41:09,222","12:41:39,594",efectivo,
291,SGAjJX1clcj2totrtQvk,sábado,13:47:02.103000,"13:48:01,653","13:48:15,370","13:48:17,490",efectivo,
450,hL90Cg70YgxMjEYJtxvW,sábado,13:42:21.004000,"13:43:50,523","13:44:09,697","13:44:23,741",Tarjeta,
381,bjIBxAD3gZadOogT0v5k,sábado,13:34:11.994000,"13:38:28,021","13:38:40,650","13:38:54,179",efectivo,
442,ggcM7zeNPwRK1emfRJHw,sábado,12:13:10.043000,"12:13:29,007","12:13:31,529","12:13:38,648",efectivo,
372,bNWjliF7xwCKBBdtayHp,sábado,14:45:04.287000,"14:45:23,462","14:46:01,668","14:46:19,439",Tarjeta,
449,hD7AsYXtnPm1S8HrbfMt,sábado,13:27:45.228000,"13:28:54,042","13:29:17,750","13:29:30,957",Tarjeta,
370,b9CXiWdyrITRR2FPKB0k,sábado,13:40:40.830000,"13:41:31,152","13:41:43,212","13:41:49,398",Tarjeta,
369,b1aykMsnhtzC9jXQSaKd,sábado,14:36:33.310000,"14:37:09,180","14:37:27,140","14:37:34,259",efectivo,
366,ak85UTfqz13W15PXr8ef,sábado,13:20:13.749000,"13:20:59,594","13:21:12,555","13:21:38,695",efectivo,
441,gfe0Zydz3k3TJIH9382Q,sábado,12:50:37.443000,"12:57:16,236","12:58:08,012","12:59:03,927",efectivo,
365,ajJ958Q3VnqIpuuuu83o,sábado,14:06:51.040000,"14:07:02,359","14:07:24,856","14:08:11,516",efectivo,
364,ahTj95PMMEMaTbjqq7gQ,sábado,14:30:49.943000,"14:31:33,077","14:31:15,731","14:31:59,466",efectivo,
363,aeqF9aFIQXuMmOEVYwKC,sábado,12:48:36.916000,"12:49:09,595","12:49:35,679","12:51:32,492",Tarjeta,
452,hTTCti77dnkEszuSNTHe,sábado,13:21:03.791000,"13:21:31,163","13:21:46,777","13:22:03,120",efectivo,
361,aCtOaw0CGtQlFkmwu1DY,sábado,12:13:35.511000,"12:13:44,867","12:13:52,578","12:14:22,512",Tarjeta,
358,Zi6LRaprm7Zb26i1S3aa,sábado,13:56:45.015000,"13:56:53,956","13:57:04,898","13:57:31,433",efectivo,
382,blzEXg39cSaSLjGgC6s6,sábado,14:22:41.937000,"14:22:59,369","14:23:11,460","14:24:09,704",efectivo,
384,byX6dTUSCBZqTsbICr31,sábado,12:59:00.631000,"13:02:58,844","13:03:35,215","13:06:09,040",Tarjeta,Se acabó el papel del datáfono 
483,l0twmRubOXi01LRDhaEP,sábado,13:03:06.464000,"13:08:38,623","13:09:22,725","13:09:33,318",Tarjeta,"El niño ya había pedido un helado pero no le gustó, entonces lo botó y pidió de nuevo :("
430,fmDmbJJSd0daumO1XpYP,sábado,12:29:36.550000,"12:32:21,493","12:33:01,573","12:33:24,843",efectivo,
426,fBxtODZlFdxECH1TfGTo,sábado,12:04:12.498000,"12:05:29,036","12:05:34,853","12:05:40,458",efectivo,
